;time;token;event;nodeName;nodeType;global_position;local_position;local_dimensions
0;2022-01-20 12:58:06.131000+00:00;8Yd90WftvuBiAcQv;click;BUTTON;;[723, 375];[69, 29];[110, 36]
1;2022-01-20 12:58:34.931000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[629, 118];['', ''];['', '']
2;2022-01-20 13:00:12.648000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[375, 237];[72, 10];[179, 26]
3;2022-01-20 13:00:30.667000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[451, 284];[149, 22];[179, 26]
4;2022-01-20 13:00:36.083000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[402, 281];[99, 19];[179, 26]
5;2022-01-20 13:00:47.135000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[412, 373];[109, 15];[179, 26]
6;2022-01-20 13:02:01.088000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[339, 387];[36, 0];[179, 26]
7;2022-01-20 13:02:09.571000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[446, 403];[143, 15];[179, 26]
8;2022-01-20 13:02:34.205000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[448, 496];[145, 13];[179, 26]
9;2022-01-20 13:02:57.540000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[407, 335];[104, 21];[179, 26]
10;2022-01-20 13:03:06.338000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[380, 450];[77, 17];[179, 26]
11;2022-01-20 13:03:27.039000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[429, 361];['', ''];['', '']
12;2022-01-20 13:03:30.106000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[420, 355];[117, 26];[179, 26]
13;2022-01-20 13:04:01.242000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[445, 408];[142, 25];[179, 26]
14;2022-01-20 13:06:32.134000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[661, 188];['', ''];['', '']
15;2022-01-20 13:07:11.492000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[173, 396];[12, 9];[14, 14]
16;2022-01-20 13:07:12.331000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[170, 338];[8, 1];[14, 14]
17;2022-01-20 13:09:02.587000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[166, 397];[4, 3];[14, 14]
18;2022-01-20 13:09:03.554000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[171, 458];[9, 12];[14, 14]
19;2022-01-20 13:09:04.437000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[173, 484];[11, 11];[14, 14]
20;2022-01-20 13:09:05.237000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[178, 400];['', ''];['', '']
21;2022-01-20 13:09:06.437000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[172, 396];[10, 1];[14, 14]
22;2022-01-20 13:09:17.711000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[169, 402];[7, 10];[14, 14]
23;2022-01-20 13:09:18.604000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[169, 374];[8, 7];[14, 14]
24;2022-01-20 13:09:27.008000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[171, 254];[10, 8];[14, 14]
25;2022-01-20 13:09:29.069000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[171, 252];[9, 5];[14, 14]
26;2022-01-20 13:09:32.979000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[171, 307];[9, 9];[14, 14]
27;2022-01-20 13:09:34.119000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[165, 333];[4, 8];[14, 14]
28;2022-01-20 13:09:36.719000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[172, 229];[11, 2];[14, 14]
29;2022-01-20 13:09:37.903000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[168, 253];[7, 0];[14, 14]
30;2022-01-20 13:09:47.734000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[170, 230];[8, 2];[14, 14]
31;2022-01-20 13:09:51.018000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[165, 314];[4, 10];[14, 14]
32;2022-01-20 13:09:55.271000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[173, 265];[11, 6];[14, 14]
33;2022-01-20 13:10:00.040000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[173, 367];[11, 5];[14, 14]
34;2022-01-20 13:10:02.885000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[409, 244];[174, 19];[179, 26]
35;2022-01-20 13:11:20.624000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[316, 282];[79, 26];[179, 26]
36;2022-01-20 13:11:27.423000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[265, 306];[27, 21];[179, 26]
37;2022-01-20 13:11:39.124000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[279, 334];[41, 18];[179, 26]
38;2022-01-20 13:12:00.959000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[261, 359];[23, 13];[179, 26]
39;2022-01-20 13:12:16.107000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[264, 391];[26, 15];[179, 26]
40;2022-01-20 13:18:28.838000+00:00;8Yd90WftvuBiAcQv;click;BUTTON;;[866, 708];[119, 29];[193, 36]
41;2022-01-20 13:19:39.580000+00:00;8Yd90WftvuBiAcQv;click;BUTTON;;[909, 712];[910, 4330];[0, 0]
42;2022-01-20 13:21:01.582000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[154, 70];[9, 9];[14, 14]
43;2022-01-20 13:21:07.116000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[156, 122];[11, 10];[14, 14]
44;2022-01-20 13:21:12.627000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[159, 149];[13, 11];[14, 14]
45;2022-01-20 13:21:51.685000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[151, 343];[5, 5];[14, 14]
46;2022-01-20 13:21:57.421000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[155, 448];[9, 10];[14, 14]
47;2022-01-20 13:23:21.269000+00:00;8Yd90WftvuBiAcQv;click;INPUT;radio;[171, 440];[9, 12];[14, 14]
48;2022-01-20 13:23:27.985000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[176, 370];['', ''];['', '']
49;2022-01-20 13:23:29.003000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[181, 372];['', ''];['', '']
50;2022-01-20 13:23:29.676000+00:00;8Yd90WftvuBiAcQv;click;INPUT;radio;[171, 371];[9, 10];[14, 14]
51;2022-01-20 13:23:41.354000+00:00;8Yd90WftvuBiAcQv;click;INPUT;radio;[173, 506];[12, 3];[14, 14]
52;2022-01-20 13:23:46.219000+00:00;8Yd90WftvuBiAcQv;click;DIV;;[181, 180];['', ''];['', '']
53;2022-01-20 13:23:46.853000+00:00;8Yd90WftvuBiAcQv;click;INPUT;radio;[165, 178];[4, 4];[14, 14]
54;2022-01-20 13:24:14.409000+00:00;8Yd90WftvuBiAcQv;click;INPUT;radio;[169, 378];[7, 14];[14, 14]
55;2022-01-20 13:24:19.786000+00:00;8Yd90WftvuBiAcQv;click;INPUT;radio;[166, 554];[4, 4];[14, 14]
56;2022-01-20 13:24:45.508000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[158, 394];[12, 6];[14, 14]
57;2022-01-20 13:24:52.355000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[155, 572];[9, 8];[14, 14]
58;2022-01-20 13:24:56.471000+00:00;8Yd90WftvuBiAcQv;click;INPUT;checkbox;[155, 464];[9, 1];[14, 14]
59;2022-01-20 13:24:57.441000+00:00;8Yd90WftvuBiAcQv;click;BUTTON;;[902, 699];[155, 21];[193, 36]
60;2022-01-20 13:25:12.623000+00:00;8Yd90WftvuBiAcQv;click;BUTTON;;[896, 691];[897, 4822];[0, 0]
61;2022-01-20 13:25:51.022000+00:00;8Yd90WftvuBiAcQv;click;NULL;;[870, 543];['', ''];['', '']
62;2022-01-20 13:26:14.006000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[213, 140];[51, 12];[179, 26]
63;2022-01-20 13:28:56.774000+00:00;8Yd90WftvuBiAcQv;click;INPUT;text;[267, 247];[105, 17];[179, 26]
64;2022-01-20 13:28:58.992000+00:00;8Yd90WftvuBiAcQv;click;LI;;[156, 247];['', ''];['', '']
65;2022-01-20 13:31:14.649000+00:00;8Yd90WftvuBiAcQv;click;BUTTON;;[789, 682];[41, 4];[193, 36]
